"guideline","version","file_desc","type","host","method","site","mo","rank_index","ab","disk_dose","breakpoint_S","breakpoint_R","note","sheet"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Streptococcus groups A, B, C and G",NA,"Amoxicillin",NA,"Note","Note","[A] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Streptococcus groups A, B, C and G",NA,"Amoxicillin-clavulanic acid",NA,"Note","Note","[1] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory. | [3] The addition of a beta-lactamase inhibitor does not add clinical benefit.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Streptococcus groups A, B, C and G",NA,"Amoxicillin-clavulanic acid",NA,"Note","Note","[A] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory. | [3] The addition of a beta-lactamase inhibitor does not add clinical benefit.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Streptococcus groups A, B, C and G",NA,"Piperacillin",NA,"Note","Note","[1] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Streptococcus groups A, B, C and G",NA,"Piperacillin",NA,"Note","Note","[A] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Streptococcus groups A, B, C and G",NA,"Piperacillin-tazobactam",NA,"Note","Note","[1] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory. | [3] The addition of a beta-lactamase inhibitor does not add clinical benefit.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Streptococcus groups A, B, C and G",NA,"Piperacillin-tazobactam",NA,"Note","Note","[A] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory. | [3] The addition of a beta-lactamase inhibitor does not add clinical benefit.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Streptococcus groups A, C and G",NA,"Phenoxymethylpenicillin",NA,"Note","Note","[1] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Streptococcus groups A, C and G",NA,"Phenoxymethylpenicillin",NA,"Note","Note","[A] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Streptococcus groups A, C and G",NA,"Oxacillin",NA,"Note","Note","[1] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Streptococcus groups A, C and G",NA,"Oxacillin",NA,"Note","Note","[A] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Streptococcus groups A, C and G",NA,"Cloxacillin",NA,"Note","Note","[1] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Streptococcus groups A, C and G",NA,"Cloxacillin",NA,"Note","Note","[A] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Streptococcus groups A, C and G",NA,"Dicloxacillin",NA,"Note","Note","[1] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Streptococcus groups A, C and G",NA,"Dicloxacillin",NA,"Note","Note","[A] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Streptococcus groups A, C and G",NA,"Flucloxacillin",NA,"Note","Note","[1] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Streptococcus groups A, C and G",NA,"Flucloxacillin",NA,"Note","Note","[A] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Streptococcus groups A, B, C and G",NA,"Cefaclor",NA,"Note","Note","[1] The susceptibility of streptococcus groups A, B, C and G to cephalosporins is inferred from the benzylpenicillin susceptibility.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Streptococcus groups A, B, C and G",NA,"Cefaclor",NA,"Note","Note","[A] The susceptibility of streptococcus groups A, B, C and G to cephalosporins is inferred from the benzylpenicillin susceptibility.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Streptococcus groups A, B, C and G",NA,"Cefadroxil",NA,"Note","Note","[1] The susceptibility of streptococcus groups A, B, C and G to cephalosporins is inferred from the benzylpenicillin susceptibility.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Streptococcus groups A, B, C and G",NA,"Cefadroxil",NA,"Note","Note","[A] The susceptibility of streptococcus groups A, B, C and G to cephalosporins is inferred from the benzylpenicillin susceptibility.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Streptococcus groups A, B, C and G",NA,"Cefalexin",NA,"Note","Note","[1] The susceptibility of streptococcus groups A, B, C and G to cephalosporins is inferred from the benzylpenicillin susceptibility.","Streptococcus A,B,C,G"
