"code"	"mo"
"ACCFER"	"B_ACDMNC_FRMN"
"ACCSPP"	"B_ACDMNC"
"ACD"	"B_ACDMNC"
"ACD.SP"	"B_ACDPH"
"ACDACI"	"B_ACDPR_ACDP"
"ACDINT"	"B_ACDMNC"
"ACDSPP"	"B_ACDMNC"
"ACE"	"B_ACTBCT"
"ACESPP"	"B_ACTBCT"
"ACF"	"F_LCHTH_BFRA"
"ACFSPP"	"F_ABSID"
"ACG"	"B_ACNTB_GULL"
"ACH"	"B_ACHRMB"
"ACH.SP"	"B_ACHRMB"
"ACHCDC"	"B_ACHRMB"
"ACHDEN"	"B_ACHRMB_DNTR"
"ACHRUH"	"B_ACHRMB"
"ACHSPP"	"B_ACHRMB"
"ACHXYL"	"B_ACHRMB_XYLS"
"ACI"	"B_ACNTB"
"ACI.SP"	"B_ACNTB"
"ACIBAC"	"B_ACNTB_BMNN"
"ACIBAU"	"B_ACNTB_BMNN"
"ACIBCC"	"B_ACNTB"
"ACIBEI"	"B_ACNTB_BJRN"
"ACIBER"	"B_ACNTB_BRZN"
"ACICAL"	"B_ACNTB_CLCC"
"ACIGUI"	"B_ACNTB"
"ACIGYL"	"B_ACNTB_GYLL"
"ACIHAE"	"B_ACNTB_HMLY"
"ACIJOH"	"B_ACNTB_JHNS"
"ACIJUN"	"B_ACNTB_JUNI"
"ACILWO"	"B_ACNTB_LWFF"
"ACINOS"	"B_ACNTB_NSCM"
"ACIPAR"	"B_ACNTB_PRVS"
"ACIPIT"	"B_ACNTB_PITT"
"ACIRAD"	"B_ACNTB_RDRS"
"ACISCH"	"B_ACNTB_SCHN"
"ACISEI"	"B_ACNTB_SFRT"
"ACISPP"	"B_ACNTB"
"ACIURS"	"B_ACNTB_URSN"
"ACJ"	"F_NNNZZ_CJTN"
"ACJSPP"	"F_ACRMN_THRM"
"ACK"	"F_NNNZZ_CKLL"
"ACKSPP"	"F_ACRMN_THRM"
"ACL"	"F_NSRTR_LVTS"
"ACM"	"B_AMDRA"
"ACM.SP"	"B_AMDRA"
"ACMSPP"	"B_AMDRA"
"ACN"	"P_ACNTH"
"ACO"	"AN_ANGST_CSTR"
"ACO.SP"	"B_ACHLP"
